label,C,E,filteredDmvId,pairStart,Dmod30,P29Survivors,S17Survivors,tail1P29,tail2P29,tail4P29,firstBothG,trueK,K13_430Miss,K13_431Miss,fullCoverageBeforeRescue,verdict,legacyDmvId
small,989,1978,P|19 / D24 / P29_LOW / TAIL_WEAK / KLOW,P|19,24,0,1,0,0,0,42,0.8830134815662644,false,false,false,RESCUED,23|23 / D24 / P29_LOW / TAIL_WEAK / KLOW / 3|13;13|3
small,990,1980,23|P / D14 / P29_LOW / TAIL_WEAK / KLOW,23|P,14,0,1,0,0,0,7,0.1471257920914865,false,false,false,RESCUED,23|P / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;5|5
small,991,1982,31|P / D24 / P29_LOW / TAIL_WEAK / KLOW,31|P,24,1,2,1,1,1,72,1.5128509684584792,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,992,1984,P|19 / D12 / P29_LOW / TAIL_WEAK / KLOW,P|19,12,0,1,0,0,0,21,0.44111920889260076,false,false,false,RESCUED,P|3 / D12 / P29_LOW / TAIL_WEAK / KLOW / 3|P;7|3
small,993,1986,23|P / D2 / P29_LOW / TAIL_WEAK / KLOW,23|P,2,0,1,0,0,0,16,0.3359926895881332,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;11|19
small,994,1988,OPEN_AT_FIRST_SURVIVOR / D6 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,6,0,0,0,0,0,3,0.06298025532059659,false,false,false,RESCUED,3|5 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|5
small,995,1990,P|19 / D6 / P29_LOW / TAIL_WEAK / KLOW,P|19,6,0,1,0,0,0,18,0.3777714470644071,false,false,false,RESCUED,5|5 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|P;11|3
small,996,1992,OPEN_AT_FIRST_SURVIVOR / D26 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,26,0,0,0,0,0,13,0.2727555428096412,false,false,false,RESCUED,5|P / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;5|19
small,997,1994,31|P / D0 / P29_LOW / TAIL_WEAK / KLOW,31|P,0,1,2,1,1,1,90,1.887758763880082,false,false,false,RESCUED,OPEN_AT_G0 / D0 / P29_LOW / TAIL_WEAK / KLOW / 
small,998,1996,23|19 / D0 / P29_LOW / TAIL_WEAK / KLOW,23|19,0,0,1,0,0,0,15,0.3145351187995039,false,false,false,RESCUED,P|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|P;5|3
small,999,1998,P|19 / D14 / P29_LOW / TAIL_WEAK / KLOW,P|19,14,0,2,0,0,0,22,0.46118439861008953,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;11|P
small,1000,2000,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,9,0.18861169701161395,false,false,false,RESCUED,3|7 / D18 / P29_LOW / TAIL_WEAK / KLOW / 5|3;3|19
small,1001,2002,23|P / D6 / P29_LOW / TAIL_WEAK / KLOW,23|P,6,0,1,0,0,0,18,0.37711425492453304,false,false,false,RESCUED,7|7 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|5;5|3
small,1002,2004,P|19 / D22 / P29_LOW / TAIL_WEAK / KLOW,P|19,22,0,1,0,0,0,11,0.23039211072062044,false,false,false,RESCUED,7|17 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 5|P;3|3
small,1003,2006,OPEN_AT_FIRST_SURVIVOR / D12 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,12,0,0,0,0,0,6,0.12563214837610964,false,false,false,RESCUED,17|17 / D12 / P29_LOW / TAIL_WEAK / KLOW / 7|3;3|19
small,1004,2008,23|P / D24 / P29_LOW / TAIL_WEAK / KLOW,23|P,24,0,1,0,0,0,27,0.5651816604897634,false,false,false,RESCUED,17|3 / D24 / P29_LOW / TAIL_WEAK / KLOW / 3|13;11|3
small,1005,2010,OPEN_AT_FIRST_SURVIVOR / D16 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,16,0,0,0,0,0,8,0.1674130032441586,false,false,false,RESCUED,3|3 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 7|P;3|3
small,1006,2012,OPEN_AT_FIRST_SURVIVOR / D0 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,0,0,0,0,0,0,15,0.31380907972061645,false,false,false,RESCUED,3|19 / D0 / P29_LOW / TAIL_WEAK / KLOW / 5|3;3|P
small,1007,2014,OPEN_AT_FIRST_SURVIVOR / D18 / P29_LOW / TAIL_WEAK / KLOW,OPEN_AT_FIRST_SURVIVOR,18,0,0,0,0,0,24,0.5019502511669183,false,false,false,RESCUED,19|19 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|13;5|3
small,1008,2016,19|P / D22 / P29_LOW / TAIL_WEAK / KLOW,19|P,22,0,1,0,0,0,11,0.22999449919797219,false,false,false,RESCUED,19|P / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 7|5;3|3
